ID,Author,*,/,>,<,[,],"""",4,0,5,@,9,1,6,2,),?,.,(,$
100,"Shakespeare, William",0.29255319148936165,0.1111111111111111,1.0,1.0,1.0,1.0,0.01181012945718828,0.2116935483870968,0.2743521000893655,0.2054794520547945,0.1818181818181818,1.0000000000000002,1.0,0.17574257425742573,0.467866323907455,0.7307692307692307,0.6604047153754018,0.5470221960734872,0.7296037296037295,0.029411764705882356
102,"Twain, Mark",0.05319148936170212,0.05555555555555555,0.0,0.0,0.010602409638554215,0.010643444605708756,0.038307214777803016,0.02620967741935484,0.015192135835567468,0.02968036529680365,0.09090909090909093,0.005224660397074192,0.0695742471443406,0.02227722772277228,0.01799485861182519,0.015151515151515155,0.016012103637395195,0.016697835024829626,0.015151515151515155,0.044117647058823525
1041,"Shakespeare, William",0.05319148936170212,0.026570048309178744,0.0,0.0,0.0,0.0,5.047063870593281e-05,0.02620967741935484,0.0062555853440571935,0.01598173515981735,0.0,0.002089864158829677,0.05192107995846313,0.012376237623762377,0.0012853470437017985,0.0011655011655011677,0.006114858475698165,0.0032989430774726307,0.0011655011655011677,0.029411764705882356
1045,"Shakespeare, William",0.05319148936170212,0.05797101449275361,0.0,0.0,0.0,0.0,0.00010094127741186572,0.2419354838709677,0.10277033065236818,0.15753424657534246,0.09090909090909093,0.06269592476489028,0.18276220145379024,0.2920792079207921,0.13881748071979433,0.0034965034965034995,0.003845426464098846,0.002185287134121998,0.0034965034965034995,0.029411764705882356
1100,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.04048192771084338,0.040638606676342524,0.0,0.010080645161290322,0.02234137622877569,0.01141552511415525,0.2727272727272727,0.035527690700104496,0.03946002076843198,0.0099009900990099,0.03084832904884318,0.02331002331002331,0.01405787051629578,0.011829967851064277,0.02097902097902098,0.0
1101,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.03662650602409639,0.036768263183357526,0.0,0.0,0.021447721179624662,0.00228310502283105,0.2727272727272727,0.035527690700104496,0.03946002076843198,0.0049504950495049506,0.02570694087403599,0.02331002331002331,0.018848893651894343,0.013321846567628332,0.02097902097902098,0.0
1102,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.040909090909090916,0.038461538461538464,0.03903614457831325,0.03918722786647315,0.0,0.0,0.02055406613047364,0.00228310502283105,0.2727272727272727,0.03970741901776385,0.038421599169262716,0.0049504950495049506,0.028277634961439587,0.025641025641025644,0.018092416314694573,0.013987238483466759,0.02331002331002331,0.0
1103,"Shakespeare, William",0.08510638297872339,0.06280193236714976,0.031818181818181815,0.02991452991452992,0.03662650602409639,0.036768263183357526,5.047063870593281e-05,0.024193548387096774,0.010723860589812331,0.02968036529680365,0.09090909090909093,0.03239289446185998,0.07995846313603322,0.01485148514851485,0.015424164524421594,0.022144522144522148,0.02275735989409317,0.01870101489777479,0.022144522144522148,0.029411764705882356
1104,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.040909090909090916,0.0982905982905983,0.01831325301204819,0.01838413159167876,2.523531935296646e-05,0.012096774193548387,0.018766756032171584,0.00228310502283105,0.2727272727272727,0.03970741901776385,0.04049844236760125,0.0099009900990099,0.03213367609254498,0.025641025641025644,0.01405787051629578,0.009385528076036785,0.02331002331002331,0.0
1105,"Shakespeare, William",0.2340425531914893,0.0,0.013636363636363636,0.012820512820512822,0.002891566265060241,0.002902757619738752,0.0,0.07258064516129033,0.03395889186773905,0.07534246575342465,0.2727272727272727,0.03970741901776385,0.11007268951194184,0.06683168316831682,0.06298200514138817,0.060606060606060615,0.00586269936329824,0.002507476903896395,0.058275058275058286,0.0
1106,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.03614457831325301,0.036768263183357526,0.0,0.0020161290322580645,0.01966041108132261,0.00228310502283105,0.2727272727272727,0.035527690700104496,0.035306334371754934,0.012376237623762377,0.023136246786632387,0.02331002331002331,0.01405787051629578,0.010191002500472777,0.02097902097902098,0.0
1107,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.0308433734939759,0.030962747943880018,0.00030282383223559703,0.0020161290322580645,0.017873100983020553,0.00684931506849315,0.2727272727272727,0.035527690700104496,0.035306334371754934,0.0049504950495049506,0.024421593830334185,0.02331002331002331,0.020866166551093742,0.013903188978308223,0.02097902097902098,0.0
