ID,Author,"""",?,/,@,_,*,;,!,',.
100,"Shakespeare, William",0.00664479421902903,1.0,0.2584269662921348,0.33333333333333337,0.006776102309601069,0.0421455938697318,1.0,1.0,0.9794194585395064,0.7136341200343687
10059,"Baum, L. Frank (Lyman Frank)",0.043301908994005836,0.0308323787705231,0.2640449438202247,0.16666666666666666,0.01546096583317427,0.007662835249042149,0.018140589569161,0.018893539993211902,0.0530744744555454,0.02715672473994991
10093,"MacDonald, George",0.021595581211844347,0.02367315769377625,0.2584269662921348,0.16666666666666666,0.019278488261118533,0.01532567049808429,0.02418745275888133,0.023645208734019686,0.02600144977780579,0.018527997660006217
10102,"Le Queux, William",0.061132106815067075,0.06815578465063002,0.2640449438202247,0.16666666666666666,0.02366863905325444,0.02298850574712644,0.005291005291005291,0.04955311686842403,0.026978473951274857,0.043783477450138025
10123,"Baum, L. Frank (Lyman Frank)",0.05051427938591027,0.04018709431080565,0.2584269662921348,0.16666666666666666,0.0015270089711777054,0.01532567049808429,0.014070585499156928,0.02104310442357733,0.04771659995587632,0.031196870258313376
10124,"Baum, L. Frank (Lyman Frank)",0.037501557373645085,0.023768613974799544,0.2584269662921348,0.16666666666666666,0.0030540179423554107,0.01532567049808429,0.014884586313157741,0.0192329449032696,0.032399382268587094,0.025502276009579352
102,"Twain, Mark",0.021180281573155036,0.024245895379916,0.12921348314606745,0.16666666666666666,0.02691353311700706,0.007662835249042149,0.029362172219315075,0.03586378549609684,0.0680765230546188,0.0215443958976984
1032,"James, Henry",0.009524205047274942,0.011072928598701796,0.15730337078651685,0.33333333333333337,0.014697461347585416,0.022222222222222227,0.0074422931565788705,0.009050797601538636,0.013930473699139587,0.008235681248971683
10359,"Baum, L. Frank (Lyman Frank)",0.04327422235142656,0.031882397861779314,0.2584269662921348,0.16666666666666666,0.0030540179423554107,0.026819923371647517,0.016454445025873597,0.014933816042538748,0.056667402061205824,0.02821703442350232
10375,"MacDonald, George",0.006561734291291167,0.0308323787705231,0.2640449438202247,0.16666666666666666,0.150410383661004,0.26436781609195403,0.07134135705564276,0.05351284081909718,0.02357464779854392,0.031096323650390306
1041,"Shakespeare, William",0.0001938064980550134,0.009259259259259259,0.06179775280898876,0.0,0.0,0.007662835249042149,0.0175010175010175,0.01120036203190406,0.020738126004601468,0.004058426719804026
10432,"Baum, L. Frank (Lyman Frank)",0.051774021623267864,0.035891561664757536,0.2584269662921348,0.16666666666666666,0.007062416491696887,0.01915708812260537,0.013140298854584568,0.0205905645435004,0.029342242112893564,0.032174914535383264
1045,"Shakespeare, William",0.000221493140634301,0.005822833142420772,0.1348314606741573,0.16666666666666666,0.0,0.007662835249042149,0.015117157974300832,0.006335558321077044,0.016735478584260454,0.0026050712052796115
10468,"Baum, L. Frank (Lyman Frank)",0.03154892921909825,0.0330278732340588,0.2584269662921348,0.16666666666666666,0.014697461347585416,0.01532567049808429,0.017675446246874817,0.016065165742731074,0.031706010274512274,0.025639385020383543
10564,"Jacobs, W. W. (William Wymark)",0.00483131913008569,0.00429553264604811,0.2584269662921348,0.16666666666666666,0.0,0.007662835249042149,0.0009302866445723588,0.0021495644303654252,0.0064609663084244685,0.004524597356538272
10565,"Jacobs, W. W. (William Wymark)",0.0018965350166812024,0.0020045819014891182,0.2584269662921348,0.16666666666666666,0.0,0.007662835249042149,0.0010465724751439038,0.0019232944903269601,0.02259762362507485,0.003272335057860003
10567,"Jacobs, W. W. (William Wymark)",0.0020211249082879965,0.003913707521954945,0.2584269662921348,0.16666666666666666,0.0,0.007662835249042149,0.001104715390429676,0.0009050797601538637,0.023700715433830247,0.002906711029048829
10568,"Jacobs, W. W. (William Wymark)",0.005177402162326786,0.003150057273768614,0.2584269662921348,0.16666666666666666,0.0,0.007662835249042149,0.001221001221001221,0.0009050797601538637,0.00510573922909641,0.004469753752216596
10573,"Jacobs, W. W. (William Wymark)",0.044174038235253406,0.03875525009545628,0.2584269662921348,0.16666666666666666,0.0017178850925749188,0.007662835249042149,0.014303157160300015,0.0205905645435004,0.15581959721390526,0.03627904425878869
10578,"MacDonald, George",0.005274305411354293,0.018804887361588397,0.2584269662921348,0.16666666666666666,0.016987974804351973,0.03065134099616858,0.0932030932030932,0.05351284081909718,0.025150493239623057,0.019021590098901302
10606,"MacDonald, George",0.0003183963896618077,0.06405116456662849,0.2584269662921348,0.16666666666666666,0.6465928612330597,0.01915708812260537,0.03913018198732484,0.015160085982577213,0.0883734123357181,0.05373759163452222
10718,"Le Queux, William",0.060495314035743465,0.05756013745704468,0.2584269662921348,0.16666666666666666,0.012025195648024432,0.02298850574712644,0.01796616082330368,0.05815137458988572,0.03838759494468783,0.04284199557594925
10724,"Alger, Horatio, Jr.",0.06439913063942301,0.05450553646429936,0.2584269662921348,0.33333333333333337,0.0,0.022222222222222227,0.008430722716437002,0.019119809933250367,0.02779791358063601,0.035620921006928576
10729,"Alger, Horatio, Jr.",0.06830294724310257,0.060996563573883174,0.2584269662921348,0.16666666666666666,0.0017178850925749188,0.01532567049808429,0.013372870515727659,0.02104310442357733,0.050553121749818776,0.03558435860404745
10778,"Scott, Walter",0.004748259202347827,0.003150057273768614,0.2584269662921348,0.16666666666666666,0.00038175224279442634,0.007662835249042149,0.006860864003721146,0.012218576762077158,0.0113460871757698,0.007513573792069616
10785,"Jacobs, W. W. (William Wymark)",0.005440425266830018,0.0021954944635357012,0.2584269662921348,0.16666666666666666,0.0,0.007662835249042149,0.0020350020350020353,0.0021495644303654252,0.006429449399602887,0.003939598910440396
