ID,Author,/,*,0,_,9,1,<,>,],[,4,"""",m_M,o_O,e_E
100,"Shakespeare, William",0.1111111111111111,0.29255319148936165,0.18807621389059614,0.020056497175141245,1.0000000000000002,0.7766129032258065,1.0,1.0,1.0,1.0,0.20076481835564053,0.05224280055668558,1.0,1.0,1.0
102,"Twain, Mark",0.05555555555555555,0.05319148936170212,0.009834050399508295,0.07966101694915255,0.005224660397074192,0.05403225806451613,0.0,0.0,0.010643444605708756,0.010602409638554215,0.0248565965583174,0.1646504656888984,0.04878486234418437,0.05694425921339252,0.0616592805150863
1041,"Shakespeare, William",0.026570048309178744,0.05319148936170212,0.00368776889981561,0.0,0.002089864158829677,0.040322580645161296,0.0,0.0,0.0,0.0,0.0248565965583174,0.002355208221817793,0.019702268854811227,0.019515943630486282,0.02117512442480764
1045,"Shakespeare, William",0.05797101449275361,0.05319148936170212,0.0700676090964966,0.0,0.06269592476489028,0.14193548387096774,0.0,0.0,0.0,0.0,0.2294455066921606,0.0025693180601648645,0.009192000717424448,0.010936041305466116,0.012767650220467124
10564,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.017824216349108787,0.0,0.014629049111807738,0.040322580645161296,0.0,0.0,0.0004837929366231253,0.0004819277108433735,0.03824091778202677,0.03821860614495237,0.005452425791408842,0.005455319094886988,0.005678732576615957
10565,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.017824216349108787,0.0,0.014629049111807738,0.040322580645161296,0.0,0.0,0.001451378809869376,0.0014457831325301205,0.028680688336520068,0.015522963280162725,0.005192359429647565,0.0054013374740411926,0.005193771943351235
10567,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.017824216349108787,0.0,0.014629049111807738,0.040322580645161296,0.0,0.0,0.0009675858732462508,0.000963855421686747,0.028680688336520068,0.01648645755272455,0.004968164290198189,0.005652193241501071,0.0058977470561548655
10568,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.017824216349108787,0.0,0.014629049111807738,0.040322580645161296,0.0,0.0,0.0009675858732462508,0.000963855421686747,0.028680688336520068,0.04089497912429076,0.00507577795713389,0.004918678275890539,0.005178128051955597
10573,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.017824216349108787,0.005084745762711865,0.015673981191222573,0.03951612903225807,0.0,0.0,0.008708272859216255,0.00867469879518072,0.026768642447418736,0.34246868643614176,0.05091023226616447,0.04760226341760817,0.049488333009281286
10785,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0,0.01671891327063741,0.040322580645161296,0.0,0.0,0.0024189646831156266,0.002409638554216868,0.028680688336520068,0.042929022588587946,0.004887454039996412,0.005706174862346868,0.005160249318932013
10790,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.0215119852489244,0.0,0.0219435736677116,0.04112903225806452,0.0,0.0,0.0019351717464925011,0.0019277108433734935,0.028680688336520068,0.0356492880847875,0.004914357456730337,0.005544229999809478,0.005723429409174918
10791,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0,0.0219435736677116,0.04516129032258065,0.0,0.0,0.0019351717464925011,0.0019277108433734935,0.028680688336520068,0.03961032009420833,0.0054255223746749156,0.0050075891808130275,0.004965818097300534
10792,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0,0.0219435736677116,0.04193548387096775,0.0,0.0,0.0019351717464925011,0.0019277108433734935,0.028680688336520068,0.028904828176854726,0.003963770065464982,0.0050075891808130275,0.005249642984049934
10871,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.005084745762711865,0.014629049111807738,0.04838709677419355,0.0,0.0,0.005805515239477503,0.005783132530120481,0.028680688336520068,0.06326945723155979,0.012895704421128149,0.012457052857532978,0.014461660174451737
10872,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.019053472649047325,0.002824858757062147,0.014629049111807738,0.040322580645161296,0.0,0.0,0.008708272859216255,0.00867469879518072,0.028680688336520068,0.12675302430146665,0.01694915254237288,0.016181784695892952,0.017784869675210466
10873,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0022598870056497176,0.014629049111807738,0.04193548387096775,0.0,0.0,0.00725689404934688,0.007228915662650602,0.028680688336520068,0.09966812975056204,0.014653394314411263,0.013943135125523145,0.014229236645145141
10874,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.019053472649047325,0.0016949152542372885,0.014629049111807738,0.040322580645161296,0.0,0.0,0.00725689404934688,0.007228915662650602,0.04780114722753346,0.10116689861899154,0.013505515200430451,0.012904782771606938,0.014539879631429919
10875,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0016949152542372885,0.014629049111807738,0.040322580645161296,0.0,0.0,0.006289308176100628,0.006265060240963855,0.028680688336520068,0.1000963494272562,0.014465070397273787,0.012955589002991218,0.014340978726542544
10876,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.05319148936170212,0.018438844499078053,0.0,0.015673981191222573,0.04112903225806452,0.0,0.0,0.0,0.0,0.026768642447418736,0.4824965207151269,0.06831674289301408,0.06165971256374594,0.07030588277361724
10929,"Ballantyne, R. M. (Robert Michael)",0.1111111111111111,0.10106382978723404,0.017824216349108787,0.1649717514124294,0.02507836990595612,0.04193548387096775,0.0,0.0,0.0019351717464925011,0.0019277108433734935,0.03250478011472275,0.2370195910502088,0.07553582638328399,0.08972380462463722,0.10941114157945196
1100,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.014751075599262448,0.0008474576271186443,0.035527690700104496,0.030645161290322583,0.034188034188034185,0.03636363636363636,0.040638606676342524,0.04048192771084338,0.00956022944550669,0.0021410983834707206,0.02284996861268048,0.024269501654377912,0.027012530757007904
1101,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.014136447449293175,0.0008474576271186443,0.035527690700104496,0.030645161290322583,0.034188034188034185,0.03636363636363636,0.036768263183357526,0.03662650602409639,0.0,0.0021410983834707206,0.03004214868621648,0.02735280482151136,0.02974574206798835
1102,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.013521819299323909,0.0008474576271186443,0.03970741901776385,0.029838709677419355,0.038461538461538464,0.040909090909090916,0.03918722786647315,0.03903614457831325,0.0,0.0021410983834707206,0.0264729620661824,0.026317627857056672,0.02873782849378378
1103,"Shakespeare, William",0.06280193236714976,0.08510638297872339,0.006760909649661953,0.0,0.03239289446185998,0.062096774193548386,0.02991452991452992,0.031818181818181815,0.036768263183357526,0.03662650602409639,0.02294455066921606,0.002355208221817793,0.037135682898394765,0.035802516178609314,0.037824694553020496
1104,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.012292562999385371,0.0008474576271186443,0.03970741901776385,0.03145161290322581,0.0982905982905983,0.040909090909090916,0.01838413159167876,0.01831325301204819,0.01147227533460803,0.0022481533026442566,0.02069769527396646,0.01820450778287957,0.016741198634958734
1105,"Shakespeare, William",0.0,0.2340425531914893,0.022741241548862937,0.0008474576271186443,0.03970741901776385,0.08548387096774193,0.012820512820512822,0.013636363636363636,0.002902757619738752,0.002891566265060241,0.06883365200764817,0.0021410983834707206,0.018285355573491167,0.017251890944424336,0.01957721266082479
1106,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.01290719114935464,0.0008474576271186443,0.035527690700104496,0.02741935483870968,0.034188034188034185,0.03636363636363636,0.036768263183357526,0.03614457831325301,0.001912045889101338,0.0021410983834707206,0.0261859922876872,0.022513511282158758,0.02315295926554165
1107,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.011677934849416104,0.0014124293785310734,0.035527690700104496,0.02741935483870968,0.034188034188034185,0.03636363636363636,0.030962747943880018,0.0308433734939759,0.001912045889101338,0.0034257574135531533,0.02458075508922966,0.02466960072652911,0.023173072840193182
1108,"Shakespeare, William",0.009661835748792268,0.946808510638298,0.011677934849416104,0.0014124293785310734,0.035527690700104496,0.025806451612903233,0.034188034188034185,0.03636363636363636,0.016932752781809383,0.016867469879518072,0.0057361376673040155,0.0027834278985119365,0.01951394493767375,0.018750674770260576,0.020667815375263437
1109,"Shakespeare, William",0.0,0.2340425531914893,0.010448678549477564,0.0008474576271186443,0.03866248693834901,0.025,0.034188034188034185,0.03636363636363636,0.03289791969037252,0.0327710843373494,0.0,0.004924526281982657,0.024266881894000537,0.02600961507928948,0.025474959716979655
