ID,Author,;,"""",!,-,?
100,"Shakespeare, William",1.0,0.01760715832010391,1.0,0.367878705342957,1.0
10045,"Hancock, H. Irving (Harrie Irving)",0.0027908599337170764,0.10907057295425024,0.030772711845231362,0.025557220028144718,0.025773195876288662
10059,"Baum, L. Frank (Lyman Frank)",0.018140589569161,0.11314764035214316,0.018893539993211902,0.03944800036315765,0.0308323787705231
10060,"Huxley, Thomas Henry",0.05273562416419559,0.03283302063789868,0.0006788098201153977,0.053656543647010765,0.011263841160748378
10093,"MacDonald, George",0.02418745275888133,0.05657382017607158,0.023645208734019686,0.04339733987017114,0.02367315769377625
10102,"Le Queux, William",0.005291005291005291,0.15961899263963053,0.04955311686842403,0.08529665441009579,0.06815578465063002
10123,"Baum, L. Frank (Lyman Frank)",0.014070585499156928,0.13194544667340166,0.02104310442357733,0.02256116936765173,0.04018709431080565
10124,"Baum, L. Frank (Lyman Frank)",0.014884586313157741,0.09803001876172608,0.0192329449032696,0.027781560670025882,0.023768613974799544
1013,"Wells, H. G. (Herbert George)",0.011570440141868713,0.08565449559821041,0.046837877587962436,0.06323482681919289,0.029782359679266894
10133,"Quiller-Couch, Arthur",0.008605151462294321,0.004293548852648289,0.045367122977712414,0.03209405783285669,0.012409316533027874
1014,"Bower, B. M.",0.014186871329728472,0.03315774282003175,0.0092770675415771,0.0361341867538245,0.01002290950744559
10149,"Cooper, James Fenimore",0.08860980289551718,0.2405469764756819,0.06855979183165516,0.10704071905215852,0.056510118365788474
102,"Twain, Mark",0.029362172219315075,0.0554914129022947,0.03586378549609684,0.06927232284715604,0.024245895379916
1023,"Dickens, Charles",0.08052793767079483,0.5611199307259345,0.294829731870121,0.30151164374233963,0.19893088965253916
1024,"Stevenson, Robert Louis",0.14965986394557826,0.2078221965651609,0.06097974884036656,0.10690453493122704,0.07474226804123711
10268,"Wells, Carolyn",0.03104831676260248,0.14576417953528648,0.022174454123769657,0.025284851786281724,0.0341733486063383
1029,"London, Jack",0.0064538635967207394,0.06945446673401645,0.014707546102500284,0.04825457351672795,0.02119129438717068
10291,"Wells, H. G. (Herbert George)",0.00622129193557765,0.015045461105498628,0.001810159520307727,0.022697353488583236,0.008304696449026346
103,"Verne, Jules",0.03552532123960695,0.08951508154134795,0.03937096956669306,0.0383131326887285,0.03493699885452463
10319,"Hancock, H. Irving (Harrie Irving)",0.004360718646432932,0.147423870688411,0.03937096956669306,0.02265195878160606,0.03990072546773578
1032,"James, Henry",0.0074422931565788705,0.02511184875162361,0.009050797601538636,0.027373008307231377,0.011072928598701796
10323,"Stratemeyer, Edward",0.002267573696145125,0.18844710636455475,0.07003054644190519,0.04217168278178765,0.04791905307369225
1033,"Wiggin, Kate Douglas Smith",0.013663585092156521,0.02298311444652908,0.01153976694196176,0.038403922102682835,0.006300114547537228
10335,"Wiggin, Kate Douglas Smith",0.02162916448630734,0.02911675566459806,0.013349926462269486,0.03055063779563303,0.0099274532264223
10349,"Verne, Jules",0.0383743240886098,0.10246788858421127,0.1195836633103292,0.049571020019065784,0.04887361588392517
10359,"Baum, L. Frank (Lyman Frank)",0.016454445025873597,0.1130754798672247,0.014933816042538748,0.028871033637477873,0.031882397861779314
10360,"Alcott, Louisa May",0.04668876097447526,0.09979795064222832,0.032130331485462155,0.05016115120976894,0.03713249331806033
