ID,Author,/,_,*,e_E,t_T,n_N,a_A,i_I,h_H,s_S
100,"Shakespeare, William",0.2584269662921348,0.006776102309601069,0.0421455938697318,0.491841953529725,0.5082463972612247,0.4836022863325206,0.4962810726169505,0.5090968884290146,0.4937196798652416,0.5596609178602748
10059,"Baum, L. Frank (Lyman Frank)",0.2640449438202247,0.01546096583317427,0.007662835249042149,0.029936311339398506,0.030695565682033726,0.028346466088851944,0.02785418233389306,0.030115082205872626,0.025686248756965686,0.029037843185753157
10093,"MacDonald, George",0.2584269662921348,0.019278488261118533,0.01532567049808429,0.026540609773810626,0.029384777898575867,0.0255661139109094,0.025639308684708446,0.02683246204533104,0.030347757743295962,0.024540732579317787
10102,"Le Queux, William",0.2640449438202247,0.02366863905325444,0.02298850574712644,0.05659906073530253,0.05381015166585706,0.05460667364074986,0.055516065560260015,0.05403389300302595,0.0516456002318246,0.05250826344073932
10123,"Baum, L. Frank (Lyman Frank)",0.2584269662921348,0.0015270089711777054,0.01532567049808429,0.031156607203376777,0.029421788377167624,0.030184123751526407,0.031085494122858524,0.02826823237822522,0.028029511771561044,0.030715265441953545
10124,"Baum, L. Frank (Lyman Frank)",0.2584269662921348,0.0030540179423554107,0.01532567049808429,0.02627432339050788,0.0255264355053858,0.025554181068943985,0.02579383475325621,0.02447827996318332,0.023065713517333684,0.025417669147572684
102,"Twain, Mark",0.12921348314606745,0.02691353311700706,0.007662835249042149,0.029836178856421026,0.03177349587101848,0.032469262987904084,0.031152455419229223,0.03058631967546778,0.029538873357474783,0.031918242529174995
1032,"James, Henry",0.15730337078651685,0.014697461347585416,0.022222222222222227,0.010748286744219827,0.011234222355871177,0.010115072372686522,0.01032405833530783,0.009769655114330231,0.01090326118001222,0.00976997279248083
10359,"Baum, L. Frank (Lyman Frank)",0.2584269662921348,0.0030540179423554107,0.026819923371647517,0.030467783749048186,0.030482755430131164,0.028455850473534945,0.028508342690745262,0.02790527926334555,0.028292190721595764,0.029602230566860788
10375,"MacDonald, George",0.2640449438202247,0.150410383661004,0.26436781609195403,0.04823964894211682,0.05091253961277787,0.0460667364074986,0.04273160882240834,0.04893249673642987,0.05099932662459634,0.054129471814359266
1041,"Shakespeare, William",0.06179775280898876,0.0,0.007662835249042149,0.009903212602168143,0.011066133098933636,0.008999351648919879,0.00848519811958944,0.009769655114330231,0.01052383602996208,0.011224788073662673
10432,"Baum, L. Frank (Lyman Frank)",0.2584269662921348,0.007062416491696887,0.01915708812260537,0.03198187492022412,0.0312152544855929,0.03095578086529015,0.031312132356728584,0.03144457344987939,0.026693184732098744,0.03293009241562296
1045,"Shakespeare, William",0.1348314606741573,0.0,0.007662835249042149,0.00576366973446186,0.005637929572143447,0.005240506429813011,0.005013512446216343,0.005620760116064787,0.0068359069616176025,0.007199874080903019
10468,"Baum, L. Frank (Lyman Frank)",0.2584269662921348,0.014697461347585416,0.01532567049808429,0.02786433919163377,0.02539381462376536,0.026268162779874864,0.02608915123981416,0.026708135563991042,0.023574393388829475,0.02739190070379781
10564,"Jacobs, W. W. (William Wymark)",0.2584269662921348,0.0,0.007662835249042149,0.002273337470675487,0.002411849521562459,0.0022234862195563373,0.002359097979829197,0.0023842610695686875,0.002151465685998587,0.0023564859577721317
10565,"Jacobs, W. W. (William Wymark)",0.2584269662921348,0.0,0.007662835249042149,0.002034560011267655,0.0023347443578296445,0.0021459227467811163,0.0022406279939425787,0.002059408005422239,0.0015448023966327061,0.00209565354259888
10567,"Jacobs, W. W. (William Wymark)",0.2584269662921348,0.0,0.007662835249042149,0.0023811724523435398,0.0024442336903302423,0.002480042321812838,0.002280117989238118,0.0022218345374954637,0.0018116508538108254,0.0023497402918624785
