ID,Author,@,~,*,%,>,<,/,],0,"""",),(,.,[,x_X,4,2,',=,;
100,"Shakespeare, William",0.1818181818181818,0.5,0.29255319148936165,0.0,1.0,1.0,0.1111111111111111,1.0,0.2743521000893655,0.01181012945718828,0.7307692307692307,0.7296037296037295,0.5470221960734872,1.0,0.2985286598875192,0.2116935483870968,0.467866323907455,0.33993305475945657,0.0,0.6715998281854035
102,"Twain, Mark",0.09090909090909093,0.0,0.05319148936170212,0.0,0.0,0.0,0.05555555555555555,0.010643444605708756,0.015192135835567468,0.038307214777803016,0.015151515151515155,0.015151515151515155,0.016697835024829626,0.010602409638554215,0.021700846446628414,0.02620967741935484,0.01799485861182519,0.02362773195650747,0.0,0.019719629817642238
1041,"Shakespeare, William",0.0,0.0,0.05319148936170212,0.0,0.0,0.0,0.026570048309178744,0.0,0.0062555853440571935,5.047063870593281e-05,0.0011655011655011677,0.0011655011655011677,0.0032989430774726307,0.0,0.015849571095835936,0.02620967741935484,0.0012853470437017985,0.0071977072348990345,0.0,0.011753680346753094
1045,"Shakespeare, William",0.09090909090909093,0.0,0.05319148936170212,0.0,0.0,0.0,0.05797101449275361,0.0,0.10277033065236818,0.00010094127741186572,0.0034965034965034995,0.0034965034965034995,0.002185287134121998,0.0,0.0013065954666818154,0.2419354838709677,0.13881748071979433,0.005808484105974753,0.0,0.010152680698192041
1100,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.040638606676342524,0.02234137622877569,0.0,0.02331002331002331,0.02097902097902098,0.011829967851064277,0.04048192771084338,0.013122763165369538,0.010080645161290322,0.03084832904884318,0.007963420770526594,0.015384615384615384,0.015892850169862156
1101,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.036768263183357526,0.021447721179624662,0.0,0.02331002331002331,0.02097902097902098,0.013321846567628332,0.03662650602409639,0.012554678179855706,0.0,0.02570694087403599,0.00996521472795292,0.015384615384615384,0.019407239642313247
1102,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.040909090909090916,0.038461538461538464,0.009661835748792268,0.03918722786647315,0.02055406613047364,0.0,0.025641025641025644,0.02331002331002331,0.013987238483466759,0.03903614457831325,0.011645742203033571,0.0,0.028277634961439587,0.010107418670283752,0.015384615384615384,0.01968058104572611
1103,"Shakespeare, William",0.09090909090909093,0.0,0.08510638297872339,0.0,0.031818181818181815,0.02991452991452992,0.06280193236714976,0.036768263183357526,0.010723860589812331,5.047063870593281e-05,0.022144522144522148,0.022144522144522148,0.01870101489777479,0.03662650602409639,0.008407657785604726,0.024193548387096774,0.015424164524421594,0.010763744557964515,0.0,0.02061775157171307
1104,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.040909090909090916,0.0982905982905983,0.009661835748792268,0.01838413159167876,0.018766756032171584,2.523531935296646e-05,0.025641025641025644,0.02331002331002331,0.009385528076036785,0.01831325301204819,0.005567232858035562,0.012096774193548387,0.03213367609254498,0.005272484631035464,0.015384615384615384,0.01339372876723027
1105,"Shakespeare, William",0.2727272727272727,0.5,0.2340425531914893,0.0,0.013636363636363636,0.012820512820512822,0.0,0.002902757619738752,0.03395889186773905,0.0,0.060606060606060615,0.058275058275058286,0.002507476903896395,0.002891566265060241,0.005226381866727262,0.07258064516129033,0.06298200514138817,0.0042442407403356025,0.015384615384615384,0.0014057557889804366
1106,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.036768263183357526,0.01966041108132261,0.0,0.02331002331002331,0.02097902097902098,0.010191002500472777,0.03614457831325301,0.006646594330511844,0.0020161290322580645,0.023136246786632387,0.00764619659148089,0.015384615384615384,0.015775703854113785
1107,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.030962747943880018,0.017873100983020553,0.00030282383223559703,0.02331002331002331,0.02097902097902098,0.013903188978308223,0.0308433734939759,0.008066806794296427,0.0020161290322580645,0.024421593830334185,0.008619746658207356,0.015384615384615384,0.019641532273809992
1108,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.016932752781809383,0.017873100983020553,0.00015141191611779854,0.02331002331002331,0.02097902097902098,0.012845566038396615,0.016867469879518072,0.008066806794296427,0.006048387096774193,0.02570694087403599,0.007689951650659608,0.015384615384615384,0.016751923152016866
1109,"Shakespeare, William",0.2727272727272727,0.5,0.2340425531914893,0.0,0.03636363636363636,0.034188034188034185,0.0,0.03289791969037252,0.0160857908847185,0.0006561183031771268,0.022144522144522148,0.01981351981351981,0.01595539772926254,0.0327710843373494,0.00812361529284781,0.0,0.023136246786632387,0.007864971887374478,0.015384615384615384,0.02186731227302901
1110,"Shakespeare, William",0.2727272727272727,0.5,0.946808510638298,0.0,0.03636363636363636,0.034188034188034185,0.009661835748792268,0.01451378809869376,0.01966041108132261,0.0,0.02331002331002331,0.02097902097902098,0.009441561079475809,0.014457831325301203,0.007896381298642277,0.004032258064516129,0.026992287917737792,0.007044564527773523,0.015384615384615384,0.016088094029442772
