ID,Author,/,w_W,h_H,e_E,u_U
100,"Shakespeare, William",0.018578352180937,1.0,1.0,0.9376642718548428,1.0
10045,"Hancock, H. Irving (Harrie Irving)",0.018982229402261717,0.042631973420737636,0.04150761747120224,0.04359746184907441,0.03615009270249095
10059,"Baum, L. Frank (Lyman Frank)",0.018982229402261717,0.05596635083283926,0.05202597709691585,0.0571188840526509,0.051106611743349864
10060,"Huxley, Thomas Henry",0.02907915993537965,0.07906659358115288,0.1095581528899098,0.1214452776758089,0.09400575608772216
10093,"MacDonald, George",0.018578352180937,0.06852885572695848,0.06146758774448535,0.05064555036971,0.04436531763209135
10102,"Le Queux, William",0.018982229402261717,0.11264864139250275,0.10460510759044693,0.10794692957155592,0.08655852668978413
10123,"Baum, L. Frank (Lyman Frank)",0.018578352180937,0.05529515733894153,0.05677211769077457,0.05944517279353925,0.05316235735840568
10124,"Baum, L. Frank (Lyman Frank)",0.018578352180937,0.04820287942008882,0.04671823801641725,0.0501379201845928,0.04514107069437657
1013,"Wells, H. G. (Herbert George)",0.009693053311793216,0.07657199109549964,0.07120477654291794,0.07719335046410404,0.0661251910291916
10133,"Quiller-Couch, Arthur",0.018982229402261717,0.015963218596534403,0.014884471168462657,0.015109339766112541,0.014529854856602046
1014,"Bower, B. M.",0.009693053311793216,0.0362220755540143,0.038957200283755024,0.031588441973884315,0.031068910144522795
10149,"Cooper, James Fenimore",0.018982229402261717,0.1583009855357802,0.1736817214471506,0.18405999265824116,0.1584165328492634
102,"Twain, Mark",0.009289176090468495,0.06781291600013424,0.05982924027970137,0.05692799832188369,0.05126951988642976
1023,"Dickens, Charles",0.011308562197092085,0.3908359714966496,0.3872876059858798,0.3727914416067963,0.3409512284049741
1024,"Stevenson, Robert Louis",0.0117124394184168,0.15855827637510767,0.14593537817113128,0.15046620168860453,0.1352292738175584
10268,"Wells, Carolyn",0.018982229402261717,0.05236427908225477,0.046671790021281634,0.050484031674445436,0.053395083277091235
1029,"London, Jack",0.009693053311793216,0.06421084424954973,0.0616153768199169,0.05701609942839163,0.05005158757864197
10291,"Wells, H. G. (Herbert George)",0.018982229402261717,0.03335831664671731,0.034557308380907335,0.04451413288583565,0.034870100149720334
103,"Verne, Jules",0.009289176090468495,0.07355162037295984,0.07646606762828091,0.07501599454612197,0.06435647404718131
10319,"Hancock, H. Irving (Harrie Irving)",0.018982229402261717,0.05199512266061102,0.05075076850319225,0.05387592427500131,0.04604870177725027
1032,"James, Henry",0.011308562197092085,0.020381909098027808,0.022083910414485017,0.020540143688709427,0.017314808350205966
10323,"Stratemeyer, Edward",0.018982229402261717,0.0686519078675064,0.05862159240617505,0.05696995122974461,0.049043108597671185
1033,"Wiggin, Kate Douglas Smith",0.009693053311793216,0.03306746613269496,0.03319764888693714,0.032922544443861765,0.023854406665270316
10335,"Wiggin, Kate Douglas Smith",0.018982229402261717,0.04295638360945488,0.048183461135695715,0.05047983638365934,0.038935046196094864
10349,"Verne, Jules",0.019386106623586433,0.07665029700312105,0.045451474512718304,0.14097016099428392,0.048507838984694386
