ID,Author,/,%,*,:,?,"""",',!,@,>,#,_,<,(,;
100,"Shakespeare, William",0.1111111111111111,0.0,0.29255319148936165,1.0,1.0,0.05224280055668558,1.0,1.0,0.1818181818181818,1.0,0.04444444444444444,0.020056497175141245,1.0,1.0,1.0
102,"Twain, Mark",0.05555555555555555,0.0,0.05319148936170212,0.11767925561029008,0.024245895379916,0.1646504656888984,0.0695369565916916,0.03586378549609684,0.09090909090909093,0.0,0.0,0.07966101694915255,0.0,0.020766773162939296,0.029362172219315075
1041,"Shakespeare, William",0.026570048309178744,0.0,0.05319148936170212,0.09469074986316367,0.009259259259259259,0.002355208221817793,0.021205393055957783,0.01120036203190406,0.0,0.0,0.0,0.0,0.0,0.001597444089456869,0.0175010175010175
1045,"Shakespeare, William",0.05797101449275361,0.0,0.05319148936170212,0.07115489874110564,0.005822833142420772,0.0025693180601648645,0.017118769507996266,0.006335558321077044,0.09090909090909093,0.0,0.0,0.0,0.0,0.004792332268370607,0.015117157974300832
10564,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.006568144499178981,0.00429553264604811,0.03821860614495237,0.006628696463622614,0.0021495644303654252,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0009302866445723588
10565,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.008210180623973728,0.0020045819014891182,0.015522963280162725,0.023103903208160376,0.0019232944903269601,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0010465724751439038
10567,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.0076628352490421435,0.003913707521954945,0.01648645755272455,0.02423013804421276,0.0009050797601538637,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.001104715390429676
10568,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.0076628352490421435,0.003150057273768614,0.04089497912429076,0.005245036522186826,0.0009050797601538637,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.001221001221001221
10573,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.021893814997263276,0.03875525009545628,0.34246868643614176,0.15912089326511564,0.0205905645435004,0.09090909090909093,0.0,0.04444444444444444,0.005084745762711865,0.0,0.009584664536741214,0.014303157160300015
10785,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.008757525998905311,0.0021954944635357012,0.042929022588587946,0.006596518325449689,0.0021495644303654252,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0020350020350020353
10790,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.008210180623973728,0.0028636884306987398,0.0356492880847875,0.01332174920359108,0.0015838895802692612,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0013372870515727655
10791,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.008210180623973728,0.003054600992745323,0.03961032009420833,0.004472761206036619,0.001810159520307727,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0009302866445723588
10792,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.009304871373836893,0.002386407025582284,0.028904828176854726,0.011680664156771891,0.0015838895802692612,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.009584664536741214,0.0014535728821443107
10871,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.013136288998357963,0.005059182894234441,0.06326945723155979,0.008334137786787656,0.0013576196402307953,0.09090909090909093,0.0,0.04444444444444444,0.005084745762711865,0.0,0.011182108626198084,0.003197860340717484
10872,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.018609742747673786,0.009545628102329132,0.12675302430146665,0.017891044824146475,0.0019232944903269601,0.09090909090909093,0.0,0.04444444444444444,0.002824858757062147,0.0,0.009584664536741214,0.005116576545147973
10873,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.016420361247947456,0.009450171821305843,0.09966812975056204,0.0207227209833639,0.001697024550288494,0.09090909090909093,0.0,0.04444444444444444,0.0022598870056497176,0.0,0.009584664536741214,0.0042444328158613865
10874,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.01532567049808429,0.01011836578846888,0.10116689861899154,0.014094024519741288,0.002262699400384659,0.09090909090909093,0.0,0.04444444444444444,0.0016949152542372885,0.0,0.009584664536741214,0.003895575324146753
10875,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.014230979748221129,0.009354715540282551,0.1000963494272562,0.020368761463461726,0.0020364294603461928,0.09090909090909093,0.0,0.04444444444444444,0.0016949152542372885,0.0,0.012779552715654952,0.004070004070004071
10876,"Jacobs, W. W. (William Wymark)",0.1111111111111111,0.0,0.05319148936170212,0.011494252873563218,0.043432607865597564,0.4824965207151269,0.08038098915596742,0.0092770675415771,0.09090909090909093,0.0,0.04444444444444444,0.0,0.0,0.014376996805111819,0.020524449095877667
10929,"Ballantyne, R. M. (Robert Michael)",0.1111111111111111,0.0,0.10106382978723404,0.014230979748221129,0.01861397479954181,0.2370195910502088,0.055989960420890036,0.0394841045367123,0.09090909090909093,0.0,0.04444444444444444,0.1649717514124294,0.0,0.03194888178913738,0.03453689167974882
